HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 32
Sequence length: 128
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 1
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4009 | PPL: 243010.94 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.4078 | PPL: 244711.68 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3143 | PPL: 222867.77 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 12.0787 | PPL: 176085.99 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.9905 | PPL: 161217.71 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 11.7142 | PPL: 122296.63 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.4890 | PPL: 35917.55 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.1485 | PPL: 25553.61 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.6076 | PPL: 14876.74 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.2906 | PPL: 10835.88 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.8202 | PPL: 6769.39 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.7717 | PPL: 6449.18 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.4912 | PPL: 4871.59 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.1347 | PPL: 3410.80 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1348 | PPL: 3411.18 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9523 | PPL: 2842.06 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 8.1781 | PPL: 3561.98 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.6587 | PPL: 2119.04 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 7.6606 | PPL: 2122.97 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6864 | PPL: 2178.62 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 7.9454 | PPL: 2822.63 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.3438 | PPL: 1546.62 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.7115 | PPL: 2233.96 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.2107 | PPL: 1353.80 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.6258 | PPL: 2050.32 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.4760 | PPL: 1765.10 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.8553 | PPL: 2579.31 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.4883 | PPL: 1787.00 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.7681 | PPL: 2363.93 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6837 | PPL: 2172.65 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.9195 | PPL: 2750.38 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.6496 | PPL: 2099.73 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.6919 | PPL: 2190.62 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.4710 | PPL: 1756.35 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.7914 | PPL: 2419.63 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 8.0479 | PPL: 3127.07 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.6033 | PPL: 2004.72 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.1382 | PPL: 1259.15 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.5022 | PPL: 1812.05 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.5100 | PPL: 1826.19 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.3958 | PPL: 1629.17 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.4919 | PPL: 1793.50 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.3321 | PPL: 1528.58 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.5459 | PPL: 1893.04 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.1877 | PPL: 1323.09 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.4860 | PPL: 1782.86 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.6710 | PPL: 2145.21 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.8958 | PPL: 2685.93 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.4525 | PPL: 1724.16 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 7.4774 | PPL: 1767.59 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.5817 | PPL: 1961.96 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.4599 | PPL: 1736.97 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 7.4475 | PPL: 1715.61 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.4967 | PPL: 1802.15 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.1512 | PPL: 1275.64 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.3727 | PPL: 1591.86 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.4935 | PPL: 1796.37 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.4419 | PPL: 1705.93 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 6.9950 | PPL: 1091.19 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.5076 | PPL: 1821.92 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.7576 | PPL: 2339.31 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 7.0591 | PPL: 1163.40 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.3899 | PPL: 1619.51 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.2801 | PPL: 1451.14 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.2411 | PPL: 1395.56 | Tokens: 5,324,800 | LR: 6.50e-05
