HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 8
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 2
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.3837 | PPL: 238882.04 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3382 | PPL: 228261.53 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.2630 | PPL: 211722.14 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.8940 | PPL: 146380.23 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.6426 | PPL: 113842.31 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.7519 | PPL: 46720.21 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.6685 | PPL: 42980.09 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 9.9078 | PPL: 20085.59 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.2663 | PPL: 10575.10 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1148 | PPL: 9088.79 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.7649 | PPL: 6405.65 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.7788 | PPL: 6494.81 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.3449 | PPL: 4208.49 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.3321 | PPL: 4155.28 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.2221 | PPL: 3722.48 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 8.1616 | PPL: 3503.74 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 8.0496 | PPL: 3132.62 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.6184 | PPL: 2035.31 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 7.8095 | PPL: 2464.00 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.8258 | PPL: 2504.46 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.5024 | PPL: 4926.34 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.5229 | PPL: 1849.86 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 8.0723 | PPL: 3204.38 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.2472 | PPL: 1404.15 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.9505 | PPL: 2837.07 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.4590 | PPL: 1735.48 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6260 | PPL: 2050.89 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.6854 | PPL: 2176.32 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.5682 | PPL: 1935.65 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.5752 | PPL: 1949.20 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.5076 | PPL: 1821.75 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.8554 | PPL: 2579.50 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.5130 | PPL: 1831.77 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.5460 | PPL: 1893.25 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.3985 | PPL: 1633.47 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.5383 | PPL: 1878.60 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.4284 | PPL: 1683.10 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.6731 | PPL: 2149.81 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4323 | PPL: 1689.71 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.0495 | PPL: 1152.24 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.6346 | PPL: 2068.58 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.3083 | PPL: 1492.64 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.3238 | PPL: 1515.92 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.5807 | PPL: 1960.00 | Tokens: 3,604,480 | LR: 4.40e-05
