============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 2
Sequence length: 512
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4668 | PPL: 259577.65 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3380 | PPL: 228196.45 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.2677 | PPL: 212719.92 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9061 | PPL: 148170.28 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.4324 | PPL: 92266.37 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.1788 | PPL: 26338.25 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.4212 | PPL: 33564.93 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.2153 | PPL: 27318.79 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.4126 | PPL: 12241.08 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.0220 | PPL: 8283.33 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.0477 | PPL: 8499.28 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.4796 | PPL: 4815.61 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2978 | PPL: 4015.13 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.5512 | PPL: 5173.09 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1514 | PPL: 3468.21 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9078 | PPL: 2718.42 | Tokens: 1,310,720 | LR: 1.60e-05
