============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 8
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 2
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4515 | PPL: 255632.74 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3629 | PPL: 233947.30 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.2817 | PPL: 215709.68 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9234 | PPL: 150758.18 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.6967 | PPL: 120175.18 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.9235 | PPL: 55466.49 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.8320 | PPL: 50614.82 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 9.9592 | PPL: 21146.88 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.3104 | PPL: 11051.83 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1542 | PPL: 9453.76 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.8190 | PPL: 6761.57 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.8559 | PPL: 7015.91 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.3914 | PPL: 4408.80 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.3273 | PPL: 4135.21 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.2402 | PPL: 3790.21 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 8.1474 | PPL: 3454.34 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.9842 | PPL: 2934.27 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.6084 | PPL: 2014.95 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 7.8084 | PPL: 2461.19 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.8653 | PPL: 2605.31 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.4976 | PPL: 4902.93 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.5613 | PPL: 1922.30 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 8.0671 | PPL: 3187.86 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.2526 | PPL: 1411.70 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.9265 | PPL: 2769.61 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.4681 | PPL: 1751.28 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6322 | PPL: 2063.64 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.6961 | PPL: 2199.68 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.5814 | PPL: 1961.33 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.5751 | PPL: 1949.12 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.5173 | PPL: 1839.54 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.8607 | PPL: 2593.23 | Tokens: 2,621,440 | LR: 3.20e-05
