HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 64
Sequence length: 64
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 1
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4095 | PPL: 245119.49 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.4145 | PPL: 246357.82 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3326 | PPL: 226973.85 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 12.1565 | PPL: 190330.08 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 12.0520 | PPL: 171443.76 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 11.8681 | PPL: 142639.45 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.7993 | PPL: 48984.50 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.3102 | PPL: 30036.18 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.7693 | PPL: 17488.53 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.3890 | PPL: 11956.34 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.8857 | PPL: 7227.96 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.7674 | PPL: 6421.51 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.5414 | PPL: 5122.75 | Tokens: 1,064,960 | LR: 1.30e-05
