HOSTNAME=beagle3-0010.rcc.local
NVIDIA A100-PCIE-40GB, 40960 MiB, 00000000:B1:00.0
NVIDIA A100-PCIE-40GB, 40960 MiB, 00000000:CA:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 530 | Loss: 6.8800 | PPL: 972.63 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.2272 | PPL: 1376.33 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.8241 | PPL: 2500.21 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.5371 | PPL: 1876.44 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.2064 | PPL: 1348.06 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.9411 | PPL: 2810.34 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 7.0171 | PPL: 1115.50 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.2250 | PPL: 1373.31 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.7084 | PPL: 2226.95 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 8.4079 | PPL: 4482.26 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4621 | PPL: 1740.88 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.0918 | PPL: 1202.06 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.3232 | PPL: 1515.02 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.8102 | PPL: 2465.58 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.4280 | PPL: 1682.48 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.5645 | PPL: 1928.53 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 6.9868 | PPL: 1082.23 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.4549 | PPL: 1728.39 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.0446 | PPL: 1146.63 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.5811 | PPL: 1960.88 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.3712 | PPL: 1589.55 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.2136 | PPL: 1357.78 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.1640 | PPL: 1292.11 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 7.1519 | PPL: 1276.58 | Tokens: 6,225,920 | LR: 7.60e-05
Step 770 | Loss: 7.2568 | PPL: 1417.71 | Tokens: 6,307,840 | LR: 7.70e-05
Step 780 | Loss: 7.2831 | PPL: 1455.50 | Tokens: 6,389,760 | LR: 7.80e-05
Step 790 | Loss: 7.7079 | PPL: 2225.78 | Tokens: 6,471,680 | LR: 7.90e-05
Step 800 | Loss: 7.4631 | PPL: 1742.49 | Tokens: 6,553,600 | LR: 8.00e-05
Step 810 | Loss: 6.8855 | PPL: 978.00 | Tokens: 6,635,520 | LR: 8.10e-05
Step 820 | Loss: 7.0415 | PPL: 1143.13 | Tokens: 6,717,440 | LR: 8.20e-05
Step 830 | Loss: 7.4809 | PPL: 1773.85 | Tokens: 6,799,360 | LR: 8.30e-05
Step 840 | Loss: 7.1992 | PPL: 1338.37 | Tokens: 6,881,280 | LR: 8.40e-05
Step 850 | Loss: 6.9146 | PPL: 1006.87 | Tokens: 6,963,200 | LR: 8.50e-05
Step 860 | Loss: 6.9273 | PPL: 1019.75 | Tokens: 7,045,120 | LR: 8.60e-05
Step 870 | Loss: 7.4124 | PPL: 1656.41 | Tokens: 7,127,040 | LR: 8.70e-05
Step 880 | Loss: 6.6004 | PPL: 735.39 | Tokens: 7,208,960 | LR: 8.80e-05
Step 890 | Loss: 7.2990 | PPL: 1478.76 | Tokens: 7,290,880 | LR: 8.90e-05
Step 900 | Loss: 7.1756 | PPL: 1307.14 | Tokens: 7,372,800 | LR: 9.00e-05
Step 910 | Loss: 6.4395 | PPL: 626.07 | Tokens: 7,454,720 | LR: 9.10e-05
Step 920 | Loss: 6.6836 | PPL: 799.21 | Tokens: 7,536,640 | LR: 9.20e-05
Step 930 | Loss: 6.6336 | PPL: 760.25 | Tokens: 7,618,560 | LR: 9.30e-05
Step 940 | Loss: 7.1606 | PPL: 1287.72 | Tokens: 7,700,480 | LR: 9.40e-05
Step 950 | Loss: 7.0075 | PPL: 1104.89 | Tokens: 7,782,400 | LR: 9.50e-05
Step 960 | Loss: 7.2141 | PPL: 1358.40 | Tokens: 7,864,320 | LR: 9.60e-05
Step 970 | Loss: 7.3167 | PPL: 1505.25 | Tokens: 7,946,240 | LR: 9.70e-05
Step 980 | Loss: 7.4210 | PPL: 1670.74 | Tokens: 8,028,160 | LR: 9.80e-05
Step 990 | Loss: 7.2928 | PPL: 1469.62 | Tokens: 8,110,080 | LR: 9.90e-05
Step 1000 | Loss: 7.0645 | PPL: 1169.66 | Tokens: 8,192,000 | LR: 1.00e-04
Step 1010 | Loss: 7.5335 | PPL: 1869.59 | Tokens: 8,273,920 | LR: 1.00e-04
Step 1020 | Loss: 6.8435 | PPL: 937.80 | Tokens: 8,355,840 | LR: 1.00e-04
Step 1030 | Loss: 7.1933 | PPL: 1330.42 | Tokens: 8,437,760 | LR: 1.00e-04
Step 1040 | Loss: 7.1547 | PPL: 1280.07 | Tokens: 8,519,680 | LR: 1.00e-04
Step 1050 | Loss: 6.9567 | PPL: 1050.20 | Tokens: 8,601,600 | LR: 1.00e-04
Step 1060 | Loss: 6.9661 | PPL: 1060.11 | Tokens: 8,683,520 | LR: 1.00e-04
Step 1070 | Loss: 7.4236 | PPL: 1675.09 | Tokens: 8,765,440 | LR: 1.00e-04
Step 1080 | Loss: 6.9151 | PPL: 1007.36 | Tokens: 8,847,360 | LR: 1.00e-04
Step 1090 | Loss: 7.5004 | PPL: 1808.80 | Tokens: 8,929,280 | LR: 1.00e-04
Step 1100 | Loss: 7.0226 | PPL: 1121.73 | Tokens: 9,011,200 | LR: 1.00e-04
Step 1110 | Loss: 6.6487 | PPL: 771.78 | Tokens: 9,093,120 | LR: 1.00e-04
Step 1120 | Loss: 7.0028 | PPL: 1099.72 | Tokens: 9,175,040 | LR: 1.00e-04
Step 1130 | Loss: 6.7660 | PPL: 867.80 | Tokens: 9,256,960 | LR: 1.00e-04
Step 1140 | Loss: 6.8903 | PPL: 982.66 | Tokens: 9,338,880 | LR: 1.00e-04
Step 1150 | Loss: 7.4991 | PPL: 1806.50 | Tokens: 9,420,800 | LR: 1.00e-04
Step 1160 | Loss: 7.1084 | PPL: 1222.19 | Tokens: 9,502,720 | LR: 1.00e-04
Step 1170 | Loss: 7.3019 | PPL: 1483.08 | Tokens: 9,584,640 | LR: 1.00e-04
Step 1180 | Loss: 6.7993 | PPL: 897.23 | Tokens: 9,666,560 | LR: 1.00e-04
Step 1190 | Loss: 7.5851 | PPL: 1968.55 | Tokens: 9,748,480 | LR: 1.00e-04
Step 1200 | Loss: 6.9078 | PPL: 1000.04 | Tokens: 9,830,400 | LR: 1.00e-04
Step 1210 | Loss: 6.3949 | PPL: 598.78 | Tokens: 9,912,320 | LR: 1.00e-04
Step 1220 | Loss: 7.2379 | PPL: 1391.22 | Tokens: 9,994,240 | LR: 1.00e-04
Step 1230 | Loss: 7.4721 | PPL: 1758.28 | Tokens: 10,076,160 | LR: 1.00e-04
Step 1240 | Loss: 7.2554 | PPL: 1415.76 | Tokens: 10,158,080 | LR: 1.00e-04
Step 1250 | Loss: 7.0268 | PPL: 1126.45 | Tokens: 10,240,000 | LR: 1.00e-04
Step 1260 | Loss: 7.1814 | PPL: 1314.78 | Tokens: 10,321,920 | LR: 1.00e-04
Step 1270 | Loss: 7.1283 | PPL: 1246.73 | Tokens: 10,403,840 | LR: 1.00e-04
Step 1280 | Loss: 6.9810 | PPL: 1075.98 | Tokens: 10,485,760 | LR: 1.00e-04
Step 1290 | Loss: 7.1802 | PPL: 1313.23 | Tokens: 10,567,680 | LR: 1.00e-04
Step 1300 | Loss: 7.3144 | PPL: 1501.72 | Tokens: 10,649,600 | LR: 1.00e-04
Step 1310 | Loss: 6.6073 | PPL: 740.50 | Tokens: 10,731,520 | LR: 1.00e-04
Step 1320 | Loss: 6.7298 | PPL: 837.02 | Tokens: 10,813,440 | LR: 1.00e-04
Step 1330 | Loss: 6.6097 | PPL: 742.27 | Tokens: 10,895,360 | LR: 1.00e-04
Step 1340 | Loss: 6.5412 | PPL: 693.14 | Tokens: 10,977,280 | LR: 1.00e-04
Step 1350 | Loss: 7.1486 | PPL: 1272.29 | Tokens: 11,059,200 | LR: 1.00e-04
Step 1360 | Loss: 6.6636 | PPL: 783.38 | Tokens: 11,141,120 | LR: 1.00e-04
Step 1370 | Loss: 6.6417 | PPL: 766.40 | Tokens: 11,223,040 | LR: 1.00e-04
Step 1380 | Loss: 6.1953 | PPL: 490.44 | Tokens: 11,304,960 | LR: 1.00e-04
Step 1390 | Loss: 6.9608 | PPL: 1054.50 | Tokens: 11,386,880 | LR: 1.00e-04
Step 1400 | Loss: 6.8089 | PPL: 905.85 | Tokens: 11,468,800 | LR: 1.00e-04
Step 1410 | Loss: 6.3095 | PPL: 549.78 | Tokens: 11,550,720 | LR: 1.00e-04
Step 1420 | Loss: 7.5025 | PPL: 1812.59 | Tokens: 11,632,640 | LR: 1.00e-04
