============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,413,696
Mixed precision: autocast bf16
Attention Residuals: ON (block_size=4, 2 layers/block, ~8 blocks)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 2
Sequence length: 512
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4653 | PPL: 259187.31 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.2844 | PPL: 216287.90 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3119 | PPL: 222322.63 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.7858 | PPL: 131375.79 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.3526 | PPL: 85188.53 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.1538 | PPL: 25687.90 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.3123 | PPL: 30099.09 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.1283 | PPL: 25042.13 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.3981 | PPL: 12065.92 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.0535 | PPL: 8548.28 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.9724 | PPL: 7882.49 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.4721 | PPL: 4779.46 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2231 | PPL: 3725.85 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.6039 | PPL: 5452.90 | Tokens: 1,146,880 | LR: 1.40e-05
