============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4645 | PPL: 258981.98 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3940 | PPL: 241358.16 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3126 | PPL: 222475.55 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9562 | PPL: 155783.80 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.6996 | PPL: 120528.58 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 11.2314 | PPL: 75459.82 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.3452 | PPL: 31107.83 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.1352 | PPL: 25215.56 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.3186 | PPL: 11143.03 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1631 | PPL: 9538.56 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.8028 | PPL: 6652.95 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.8374 | PPL: 6887.17 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.3770 | PPL: 4346.10 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.2689 | PPL: 3900.70 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1988 | PPL: 3636.46 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 8.0736 | PPL: 3208.48 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.9564 | PPL: 2853.83 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7290 | PPL: 2273.25 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 7.8133 | PPL: 2473.16 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.7166 | PPL: 2245.27 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.0911 | PPL: 3265.24 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.5046 | PPL: 1816.43 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.6489 | PPL: 2098.41 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.2467 | PPL: 1403.52 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.7594 | PPL: 2343.58 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.4402 | PPL: 1703.07 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.7749 | PPL: 2380.13 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.5428 | PPL: 1887.04 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.7976 | PPL: 2434.75 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.4828 | PPL: 1777.12 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.6835 | PPL: 2172.10 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.6939 | PPL: 2194.98 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.6584 | PPL: 2118.46 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.5467 | PPL: 1894.44 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.7041 | PPL: 2217.32 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.7785 | PPL: 2388.75 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.6177 | PPL: 2033.88 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.3873 | PPL: 1615.30 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.3780 | PPL: 1600.40 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.2773 | PPL: 1447.09 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.5561 | PPL: 1912.40 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.4290 | PPL: 1684.07 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.5425 | PPL: 1886.63 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.3969 | PPL: 1630.94 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.3913 | PPL: 1621.79 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.3970 | PPL: 1631.15 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.7269 | PPL: 2268.49 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.6085 | PPL: 2015.32 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.3270 | PPL: 1520.75 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 7.6371 | PPL: 2073.66 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.5674 | PPL: 1934.19 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.4868 | PPL: 1784.37 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 7.2249 | PPL: 1373.23 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.2941 | PPL: 1471.56 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.5585 | PPL: 1917.00 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.4707 | PPL: 1755.88 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.5305 | PPL: 1864.11 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.5066 | PPL: 1819.95 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 7.0967 | PPL: 1207.93 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.2987 | PPL: 1478.31 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.5939 | PPL: 1985.99 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 7.5151 | PPL: 1835.53 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4004 | PPL: 1636.65 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.3180 | PPL: 1507.21 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.2063 | PPL: 1347.90 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.6111 | PPL: 2020.55 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.2382 | PPL: 1391.65 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.2596 | PPL: 1421.75 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 6.8527 | PPL: 946.41 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.3255 | PPL: 1518.58 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.0032 | PPL: 1100.13 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.5950 | PPL: 1988.29 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.3463 | PPL: 1550.42 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.3417 | PPL: 1543.29 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 6.9696 | PPL: 1063.79 | Tokens: 6,144,000 | LR: 7.50e-05
