============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4312 | PPL: 250499.08 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3873 | PPL: 239726.45 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.2634 | PPL: 211801.51 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9440 | PPL: 153885.19 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.6183 | PPL: 111107.84 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.6862 | PPL: 43747.04 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.6372 | PPL: 41656.94 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.2671 | PPL: 28771.30 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.5221 | PPL: 13657.93 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1456 | PPL: 9372.65 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.1303 | PPL: 9230.54 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.4817 | PPL: 4825.76 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2399 | PPL: 3789.34 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.6285 | PPL: 5588.76 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1977 | PPL: 3632.65 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9453 | PPL: 2822.37 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.9023 | PPL: 2703.48 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7168 | PPL: 2245.78 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 8.0497 | PPL: 3132.80 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.5787 | PPL: 1956.06 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.1780 | PPL: 3561.75 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.7047 | PPL: 2218.84 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.5018 | PPL: 1811.34 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.3126 | PPL: 1499.12 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.7708 | PPL: 2370.45 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.3740 | PPL: 1593.92 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6831 | PPL: 2171.39 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.3321 | PPL: 1528.63 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.2832 | PPL: 1455.71 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6231 | PPL: 2044.87 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.2345 | PPL: 1386.48 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.7076 | PPL: 2225.27 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.9266 | PPL: 2769.93 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.6616 | PPL: 2125.09 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.4985 | PPL: 1805.38 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.5407 | PPL: 1883.07 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.8992 | PPL: 2695.21 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.4081 | PPL: 1649.35 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4213 | PPL: 1671.17 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.0518 | PPL: 1154.88 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.8389 | PPL: 2537.49 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.6921 | PPL: 2190.92 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.3946 | PPL: 1627.19 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.0413 | PPL: 1142.86 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.5608 | PPL: 1921.29 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.0390 | PPL: 1140.27 | Tokens: 3,768,320 | LR: 4.60e-05
