HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 128
Sequence length: 32
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 1
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.3743 | PPL: 236650.15 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3834 | PPL: 238795.72 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3357 | PPL: 227681.04 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 12.1680 | PPL: 192525.52 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 12.1070 | PPL: 181140.46 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 11.9631 | PPL: 156861.50 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 11.2594 | PPL: 77604.84 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.7354 | PPL: 45952.21 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 10.0283 | PPL: 22658.14 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.5492 | PPL: 14033.38 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.9236 | PPL: 7506.90 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.8555 | PPL: 7013.10 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.5262 | PPL: 5045.13 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.1815 | PPL: 3574.19 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1745 | PPL: 3549.30 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9553 | PPL: 2850.75 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 8.1675 | PPL: 3524.67 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.6440 | PPL: 2088.14 | Tokens: 1,474,560 | LR: 1.80e-05
