HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4687 | PPL: 260073.23 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3599 | PPL: 233251.34 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.1261 | PPL: 184620.14 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.7983 | PPL: 133025.10 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.5782 | PPL: 106741.27 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.6861 | PPL: 43743.07 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.5319 | PPL: 37492.19 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.2704 | PPL: 28866.48 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.4508 | PPL: 12718.32 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1640 | PPL: 9547.18 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.1613 | PPL: 9521.32 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.4866 | PPL: 4849.47 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2094 | PPL: 3675.39 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.5478 | PPL: 5155.22 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1283 | PPL: 3389.10 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9225 | PPL: 2758.70 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.8930 | PPL: 2678.37 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7369 | PPL: 2291.39 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 8.0248 | PPL: 3055.69 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6142 | PPL: 2026.80 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.1320 | PPL: 3401.43 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.7243 | PPL: 2262.67 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.4883 | PPL: 1786.94 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.2927 | PPL: 1469.55 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.8055 | PPL: 2454.18 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.3720 | PPL: 1590.78 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6894 | PPL: 2185.09 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.3217 | PPL: 1512.81 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.2918 | PPL: 1468.22 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6236 | PPL: 2045.98 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.2477 | PPL: 1404.89 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.6999 | PPL: 2208.18 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.9530 | PPL: 2844.20 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.6566 | PPL: 2114.46 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.5239 | PPL: 1851.77 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.5312 | PPL: 1865.40 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.9076 | PPL: 2717.75 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.3941 | PPL: 1626.28 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4263 | PPL: 1679.57 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.0740 | PPL: 1180.84 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.8387 | PPL: 2536.92 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.6782 | PPL: 2160.78 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.4102 | PPL: 1652.71 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.0649 | PPL: 1170.13 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.5465 | PPL: 1894.19 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.0281 | PPL: 1127.86 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.6157 | PPL: 2029.83 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.4952 | PPL: 1799.39 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.1556 | PPL: 1281.26 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 8.0072 | PPL: 3002.48 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.6266 | PPL: 2052.10 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.4086 | PPL: 1650.15 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 6.8758 | PPL: 968.54 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.2095 | PPL: 1352.23 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.8315 | PPL: 2518.68 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.5214 | PPL: 1847.08 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.2171 | PPL: 1362.48 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.9799 | PPL: 2921.60 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 6.9975 | PPL: 1093.93 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.2319 | PPL: 1382.85 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.6817 | PPL: 2168.41 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 8.3778 | PPL: 4349.22 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4928 | PPL: 1795.14 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.0915 | PPL: 1201.74 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.3021 | PPL: 1483.48 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.7505 | PPL: 2322.75 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.4016 | PPL: 1638.63 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.5385 | PPL: 1879.06 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 7.0068 | PPL: 1104.08 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.4706 | PPL: 1755.63 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.0230 | PPL: 1122.17 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.5552 | PPL: 1910.57 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.3834 | PPL: 1609.01 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.2002 | PPL: 1339.68 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.1783 | PPL: 1310.73 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 7.1184 | PPL: 1234.49 | Tokens: 6,225,920 | LR: 7.60e-05
Step 770 | Loss: 7.2557 | PPL: 1416.09 | Tokens: 6,307,840 | LR: 7.70e-05
Step 780 | Loss: 7.2586 | PPL: 1420.30 | Tokens: 6,389,760 | LR: 7.80e-05
Step 790 | Loss: 7.7026 | PPL: 2214.14 | Tokens: 6,471,680 | LR: 7.90e-05
Step 800 | Loss: 7.4981 | PPL: 1804.58 | Tokens: 6,553,600 | LR: 8.00e-05
Step 810 | Loss: 6.8921 | PPL: 984.44 | Tokens: 6,635,520 | LR: 8.10e-05
Step 820 | Loss: 6.9957 | PPL: 1091.98 | Tokens: 6,717,440 | LR: 8.20e-05
Step 830 | Loss: 7.4798 | PPL: 1771.97 | Tokens: 6,799,360 | LR: 8.30e-05
Step 840 | Loss: 7.1789 | PPL: 1311.40 | Tokens: 6,881,280 | LR: 8.40e-05
Step 850 | Loss: 6.9493 | PPL: 1042.41 | Tokens: 6,963,200 | LR: 8.50e-05
Step 860 | Loss: 6.9678 | PPL: 1061.94 | Tokens: 7,045,120 | LR: 8.60e-05
Step 870 | Loss: 7.4688 | PPL: 1752.54 | Tokens: 7,127,040 | LR: 8.70e-05
Step 880 | Loss: 6.5632 | PPL: 708.52 | Tokens: 7,208,960 | LR: 8.80e-05
