HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 530 | Loss: 6.8794 | PPL: 972.06 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.2148 | PPL: 1359.41 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.8163 | PPL: 2480.76 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.5136 | PPL: 1832.75 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.2104 | PPL: 1353.48 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.9415 | PPL: 2811.46 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 7.0313 | PPL: 1131.48 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.2169 | PPL: 1362.26 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.7077 | PPL: 2225.31 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 8.4711 | PPL: 4774.89 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4960 | PPL: 1800.91 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.0817 | PPL: 1189.97 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.3333 | PPL: 1530.39 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.7729 | PPL: 2375.29 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.3908 | PPL: 1620.93 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.5925 | PPL: 1983.34 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 6.9492 | PPL: 1042.32 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.4555 | PPL: 1729.32 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.0135 | PPL: 1111.49 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.5495 | PPL: 1899.71 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.3706 | PPL: 1588.65 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.2271 | PPL: 1376.20 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.1937 | PPL: 1331.02 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 7.0831 | PPL: 1191.71 | Tokens: 6,225,920 | LR: 7.60e-05
Step 770 | Loss: 7.2908 | PPL: 1466.81 | Tokens: 6,307,840 | LR: 7.70e-05
Step 780 | Loss: 7.2591 | PPL: 1421.01 | Tokens: 6,389,760 | LR: 7.80e-05
Step 790 | Loss: 7.6963 | PPL: 2200.26 | Tokens: 6,471,680 | LR: 7.90e-05
Step 800 | Loss: 7.5243 | PPL: 1852.54 | Tokens: 6,553,600 | LR: 8.00e-05
Step 810 | Loss: 6.8956 | PPL: 987.96 | Tokens: 6,635,520 | LR: 8.10e-05
Step 820 | Loss: 7.0333 | PPL: 1133.80 | Tokens: 6,717,440 | LR: 8.20e-05
Step 830 | Loss: 7.5235 | PPL: 1850.96 | Tokens: 6,799,360 | LR: 8.30e-05
Step 840 | Loss: 7.1728 | PPL: 1303.54 | Tokens: 6,881,280 | LR: 8.40e-05
Step 850 | Loss: 6.9254 | PPL: 1017.78 | Tokens: 6,963,200 | LR: 8.50e-05
Step 860 | Loss: 6.9398 | PPL: 1032.54 | Tokens: 7,045,120 | LR: 8.60e-05
Step 870 | Loss: 7.4620 | PPL: 1740.70 | Tokens: 7,127,040 | LR: 8.70e-05
Step 880 | Loss: 6.5645 | PPL: 709.43 | Tokens: 7,208,960 | LR: 8.80e-05
Step 890 | Loss: 7.2855 | PPL: 1458.99 | Tokens: 7,290,880 | LR: 8.90e-05
Step 900 | Loss: 7.1794 | PPL: 1312.17 | Tokens: 7,372,800 | LR: 9.00e-05
Step 910 | Loss: 6.4309 | PPL: 620.76 | Tokens: 7,454,720 | LR: 9.10e-05
Step 920 | Loss: 6.7199 | PPL: 828.76 | Tokens: 7,536,640 | LR: 9.20e-05
Step 930 | Loss: 6.6611 | PPL: 781.39 | Tokens: 7,618,560 | LR: 9.30e-05
Step 940 | Loss: 7.1404 | PPL: 1261.88 | Tokens: 7,700,480 | LR: 9.40e-05
Step 950 | Loss: 6.9886 | PPL: 1084.23 | Tokens: 7,782,400 | LR: 9.50e-05
Step 960 | Loss: 7.2151 | PPL: 1359.78 | Tokens: 7,864,320 | LR: 9.60e-05
Step 970 | Loss: 7.3308 | PPL: 1526.63 | Tokens: 7,946,240 | LR: 9.70e-05
Step 980 | Loss: 7.4147 | PPL: 1660.24 | Tokens: 8,028,160 | LR: 9.80e-05
Step 990 | Loss: 7.3184 | PPL: 1507.78 | Tokens: 8,110,080 | LR: 9.90e-05
Step 1000 | Loss: 7.0857 | PPL: 1194.70 | Tokens: 8,192,000 | LR: 1.00e-04
Step 1010 | Loss: 7.5522 | PPL: 1904.86 | Tokens: 8,273,920 | LR: 1.00e-04
Step 1020 | Loss: 6.8524 | PPL: 946.14 | Tokens: 8,355,840 | LR: 1.00e-04
Step 1030 | Loss: 7.2485 | PPL: 1406.04 | Tokens: 8,437,760 | LR: 1.00e-04
Step 1040 | Loss: 7.1389 | PPL: 1260.07 | Tokens: 8,519,680 | LR: 1.00e-04
Step 1050 | Loss: 6.9674 | PPL: 1061.42 | Tokens: 8,601,600 | LR: 1.00e-04
Step 1060 | Loss: 6.9420 | PPL: 1034.87 | Tokens: 8,683,520 | LR: 1.00e-04
Step 1070 | Loss: 7.4036 | PPL: 1641.82 | Tokens: 8,765,440 | LR: 1.00e-04
Step 1080 | Loss: 6.8928 | PPL: 985.18 | Tokens: 8,847,360 | LR: 1.00e-04
Step 1090 | Loss: 7.5265 | PPL: 1856.51 | Tokens: 8,929,280 | LR: 1.00e-04
Step 1100 | Loss: 7.0389 | PPL: 1140.13 | Tokens: 9,011,200 | LR: 1.00e-04
Step 1110 | Loss: 6.6318 | PPL: 758.84 | Tokens: 9,093,120 | LR: 1.00e-04
Step 1120 | Loss: 7.0136 | PPL: 1111.68 | Tokens: 9,175,040 | LR: 1.00e-04
Step 1130 | Loss: 6.7706 | PPL: 871.81 | Tokens: 9,256,960 | LR: 1.00e-04
Step 1140 | Loss: 6.8992 | PPL: 991.45 | Tokens: 9,338,880 | LR: 1.00e-04
Step 1150 | Loss: 7.4754 | PPL: 1764.05 | Tokens: 9,420,800 | LR: 1.00e-04
Step 1160 | Loss: 7.0942 | PPL: 1204.94 | Tokens: 9,502,720 | LR: 1.00e-04
Step 1170 | Loss: 7.3147 | PPL: 1502.20 | Tokens: 9,584,640 | LR: 1.00e-04
Step 1180 | Loss: 6.8150 | PPL: 911.39 | Tokens: 9,666,560 | LR: 1.00e-04
Step 1190 | Loss: 7.5623 | PPL: 1924.24 | Tokens: 9,748,480 | LR: 1.00e-04
Step 1200 | Loss: 6.9066 | PPL: 998.81 | Tokens: 9,830,400 | LR: 1.00e-04
Step 1210 | Loss: 6.4092 | PPL: 607.39 | Tokens: 9,912,320 | LR: 1.00e-04
Step 1220 | Loss: 7.2991 | PPL: 1478.94 | Tokens: 9,994,240 | LR: 1.00e-04
Step 1230 | Loss: 7.5002 | PPL: 1808.35 | Tokens: 10,076,160 | LR: 1.00e-04
Step 1240 | Loss: 7.2667 | PPL: 1431.80 | Tokens: 10,158,080 | LR: 1.00e-04
Step 1250 | Loss: 7.0209 | PPL: 1119.79 | Tokens: 10,240,000 | LR: 1.00e-04
Step 1260 | Loss: 7.1326 | PPL: 1252.17 | Tokens: 10,321,920 | LR: 1.00e-04
Step 1270 | Loss: 7.1570 | PPL: 1283.01 | Tokens: 10,403,840 | LR: 1.00e-04
Step 1280 | Loss: 6.9590 | PPL: 1052.54 | Tokens: 10,485,760 | LR: 1.00e-04
Step 1290 | Loss: 7.1334 | PPL: 1253.12 | Tokens: 10,567,680 | LR: 1.00e-04
Step 1300 | Loss: 7.3181 | PPL: 1507.36 | Tokens: 10,649,600 | LR: 1.00e-04
Step 1310 | Loss: 6.5713 | PPL: 714.32 | Tokens: 10,731,520 | LR: 1.00e-04
Step 1320 | Loss: 6.7403 | PPL: 845.77 | Tokens: 10,813,440 | LR: 1.00e-04
Step 1330 | Loss: 6.6288 | PPL: 756.59 | Tokens: 10,895,360 | LR: 1.00e-04
Step 1340 | Loss: 6.5766 | PPL: 718.12 | Tokens: 10,977,280 | LR: 1.00e-04
Step 1350 | Loss: 7.1216 | PPL: 1238.41 | Tokens: 11,059,200 | LR: 1.00e-04
Step 1360 | Loss: 6.6611 | PPL: 781.44 | Tokens: 11,141,120 | LR: 1.00e-04
Step 1370 | Loss: 6.6226 | PPL: 751.92 | Tokens: 11,223,040 | LR: 1.00e-04
Step 1380 | Loss: 6.2071 | PPL: 496.25 | Tokens: 11,304,960 | LR: 1.00e-04
Step 1390 | Loss: 6.9615 | PPL: 1055.20 | Tokens: 11,386,880 | LR: 1.00e-04
Step 1400 | Loss: 6.8478 | PPL: 941.85 | Tokens: 11,468,800 | LR: 1.00e-04
Step 1410 | Loss: 6.3341 | PPL: 563.47 | Tokens: 11,550,720 | LR: 1.00e-04
