HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 16
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 1
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.3923 | PPL: 240927.65 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.4152 | PPL: 246516.45 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.2732 | PPL: 213892.66 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.8962 | PPL: 146707.26 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.7982 | PPL: 133007.34 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 11.3426 | PPL: 84339.90 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.0437 | PPL: 23011.01 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 9.8671 | PPL: 19284.46 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.3935 | PPL: 12010.50 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1397 | PPL: 9318.22 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 8.7173 | PPL: 6107.67 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.7667 | PPL: 6416.75 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.4917 | PPL: 4874.34 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.0848 | PPL: 3244.65 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1745 | PPL: 3549.39 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9353 | PPL: 2794.10 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 8.1149 | PPL: 3343.91 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.6658 | PPL: 2134.07 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 7.6570 | PPL: 2115.38 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6903 | PPL: 2187.13 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 7.9278 | PPL: 2773.20 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.3466 | PPL: 1550.97 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.6993 | PPL: 2206.90 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.2236 | PPL: 1371.48 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.6364 | PPL: 2072.28 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.4582 | PPL: 1734.06 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.8582 | PPL: 2586.76 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.4405 | PPL: 1703.63 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.7540 | PPL: 2330.86 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6914 | PPL: 2189.45 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.8894 | PPL: 2668.95 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.6286 | PPL: 2056.12 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.7010 | PPL: 2210.49 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.4589 | PPL: 1735.32 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.7816 | PPL: 2396.14 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 8.0481 | PPL: 3127.94 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.5753 | PPL: 1949.48 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.1267 | PPL: 1244.78 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4754 | PPL: 1764.18 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.4930 | PPL: 1795.36 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.3631 | PPL: 1576.79 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.4739 | PPL: 1761.52 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.3254 | PPL: 1518.34 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.5286 | PPL: 1860.52 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.1631 | PPL: 1290.96 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.4725 | PPL: 1758.91 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.6211 | PPL: 2040.88 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.8673 | PPL: 2610.55 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.4233 | PPL: 1674.51 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 7.4501 | PPL: 1720.07 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.5580 | PPL: 1916.04 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.4357 | PPL: 1695.41 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 7.4264 | PPL: 1679.78 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.4564 | PPL: 1730.86 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.0913 | PPL: 1201.42 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.3511 | PPL: 1557.87 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.4586 | PPL: 1734.66 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.3780 | PPL: 1600.46 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 6.9880 | PPL: 1083.52 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.4834 | PPL: 1778.35 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.7403 | PPL: 2299.18 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 7.0505 | PPL: 1153.47 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.3507 | PPL: 1557.25 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.2506 | PPL: 1408.91 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.2274 | PPL: 1376.58 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.4658 | PPL: 1747.33 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.2181 | PPL: 1363.92 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.0257 | PPL: 1125.23 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 7.0025 | PPL: 1099.36 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.3836 | PPL: 1609.37 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.0500 | PPL: 1152.85 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.9191 | PPL: 2749.16 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.1957 | PPL: 1333.65 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.3944 | PPL: 1626.87 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.0443 | PPL: 1146.36 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 6.7800 | PPL: 880.07 | Tokens: 6,225,920 | LR: 7.60e-05
Step 770 | Loss: 7.2268 | PPL: 1375.77 | Tokens: 6,307,840 | LR: 7.70e-05
Step 780 | Loss: 7.0215 | PPL: 1120.42 | Tokens: 6,389,760 | LR: 7.80e-05
Step 790 | Loss: 7.4624 | PPL: 1741.33 | Tokens: 6,471,680 | LR: 7.90e-05
Step 800 | Loss: 7.2386 | PPL: 1392.17 | Tokens: 6,553,600 | LR: 8.00e-05
Step 810 | Loss: 7.2154 | PPL: 1360.19 | Tokens: 6,635,520 | LR: 8.10e-05
Step 820 | Loss: 7.1418 | PPL: 1263.74 | Tokens: 6,717,440 | LR: 8.20e-05
Step 830 | Loss: 7.1332 | PPL: 1252.92 | Tokens: 6,799,360 | LR: 8.30e-05
Step 840 | Loss: 6.9340 | PPL: 1026.63 | Tokens: 6,881,280 | LR: 8.40e-05
Step 850 | Loss: 6.8346 | PPL: 929.47 | Tokens: 6,963,200 | LR: 8.50e-05
Step 860 | Loss: 7.0050 | PPL: 1102.11 | Tokens: 7,045,120 | LR: 8.60e-05
Step 870 | Loss: 6.9049 | PPL: 997.16 | Tokens: 7,127,040 | LR: 8.70e-05
Step 880 | Loss: 7.4578 | PPL: 1733.27 | Tokens: 7,208,960 | LR: 8.80e-05
Step 890 | Loss: 7.2119 | PPL: 1355.51 | Tokens: 7,290,880 | LR: 8.90e-05
Step 900 | Loss: 7.1558 | PPL: 1281.52 | Tokens: 7,372,800 | LR: 9.00e-05
Step 910 | Loss: 7.0654 | PPL: 1170.76 | Tokens: 7,454,720 | LR: 9.10e-05
Step 920 | Loss: 7.3877 | PPL: 1615.93 | Tokens: 7,536,640 | LR: 9.20e-05
Step 930 | Loss: 7.2371 | PPL: 1390.08 | Tokens: 7,618,560 | LR: 9.30e-05
Step 940 | Loss: 7.3511 | PPL: 1557.95 | Tokens: 7,700,480 | LR: 9.40e-05
Step 950 | Loss: 7.1103 | PPL: 1224.50 | Tokens: 7,782,400 | LR: 9.50e-05
Step 960 | Loss: 6.7862 | PPL: 885.57 | Tokens: 7,864,320 | LR: 9.60e-05
Step 970 | Loss: 7.2187 | PPL: 1364.73 | Tokens: 7,946,240 | LR: 9.70e-05
Step 980 | Loss: 7.1984 | PPL: 1337.33 | Tokens: 8,028,160 | LR: 9.80e-05
Step 990 | Loss: 7.2799 | PPL: 1450.90 | Tokens: 8,110,080 | LR: 9.90e-05
Step 1000 | Loss: 7.0049 | PPL: 1102.06 | Tokens: 8,192,000 | LR: 1.00e-04
Step 1010 | Loss: 7.1751 | PPL: 1306.44 | Tokens: 8,273,920 | LR: 1.00e-04
Step 1020 | Loss: 7.0006 | PPL: 1097.25 | Tokens: 8,355,840 | LR: 1.00e-04
Step 1030 | Loss: 7.2500 | PPL: 1408.16 | Tokens: 8,437,760 | LR: 1.00e-04
Step 1040 | Loss: 7.4073 | PPL: 1648.01 | Tokens: 8,519,680 | LR: 1.00e-04
Step 1050 | Loss: 6.9311 | PPL: 1023.60 | Tokens: 8,601,600 | LR: 1.00e-04
Step 1060 | Loss: 7.1744 | PPL: 1305.55 | Tokens: 8,683,520 | LR: 1.00e-04
Step 1070 | Loss: 7.1801 | PPL: 1312.99 | Tokens: 8,765,440 | LR: 1.00e-04
Step 1080 | Loss: 6.2890 | PPL: 538.60 | Tokens: 8,847,360 | LR: 1.00e-04
Step 1090 | Loss: 7.1441 | PPL: 1266.55 | Tokens: 8,929,280 | LR: 1.00e-04
Step 1100 | Loss: 6.8929 | PPL: 985.25 | Tokens: 9,011,200 | LR: 1.00e-04
Step 1110 | Loss: 7.1836 | PPL: 1317.64 | Tokens: 9,093,120 | LR: 1.00e-04
Step 1120 | Loss: 6.9540 | PPL: 1047.38 | Tokens: 9,175,040 | LR: 1.00e-04
Step 1130 | Loss: 7.2529 | PPL: 1412.23 | Tokens: 9,256,960 | LR: 1.00e-04
Step 1140 | Loss: 6.7116 | PPL: 821.86 | Tokens: 9,338,880 | LR: 1.00e-04
Step 1150 | Loss: 6.9047 | PPL: 996.98 | Tokens: 9,420,800 | LR: 1.00e-04
Step 1160 | Loss: 7.1309 | PPL: 1249.96 | Tokens: 9,502,720 | LR: 1.00e-04
Step 1170 | Loss: 7.2609 | PPL: 1423.57 | Tokens: 9,584,640 | LR: 1.00e-04
Step 1180 | Loss: 6.5252 | PPL: 682.14 | Tokens: 9,666,560 | LR: 1.00e-04
Step 1190 | Loss: 7.0749 | PPL: 1181.91 | Tokens: 9,748,480 | LR: 1.00e-04
Step 1200 | Loss: 7.3429 | PPL: 1545.11 | Tokens: 9,830,400 | LR: 1.00e-04
Step 1210 | Loss: 6.7002 | PPL: 812.58 | Tokens: 9,912,320 | LR: 1.00e-04
Step 1220 | Loss: 6.8410 | PPL: 935.43 | Tokens: 9,994,240 | LR: 1.00e-04
Step 1230 | Loss: 7.0863 | PPL: 1195.50 | Tokens: 10,076,160 | LR: 1.00e-04
Step 1240 | Loss: 7.1371 | PPL: 1257.82 | Tokens: 10,158,080 | LR: 1.00e-04
