HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 512
Sequence length: 8
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 1
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.3936 | PPL: 241250.23 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3632 | PPL: 234031.65 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3071 | PPL: 221260.18 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 12.1352 | PPL: 186321.35 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 12.0695 | PPL: 174466.75 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 11.9816 | PPL: 159790.05 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 11.4639 | PPL: 95212.02 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 11.1578 | PPL: 70105.39 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 10.6702 | PPL: 43054.35 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 10.1135 | PPL: 24673.53 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.2043 | PPL: 9940.13 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.9458 | PPL: 7675.81 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.6565 | PPL: 5747.67 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.1846 | PPL: 3585.26 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1766 | PPL: 3556.67 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9644 | PPL: 2876.76 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 8.1974 | PPL: 3631.60 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.6496 | PPL: 2099.80 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 7.6230 | PPL: 2044.70 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6774 | PPL: 2158.93 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 7.9439 | PPL: 2818.40 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.2993 | PPL: 1479.31 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.7001 | PPL: 2208.67 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.1924 | PPL: 1329.33 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.5664 | PPL: 1932.19 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.4650 | PPL: 1745.91 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.8555 | PPL: 2579.93 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.4851 | PPL: 1781.34 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.7661 | PPL: 2359.34 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6951 | PPL: 2197.62 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.9116 | PPL: 2728.85 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.6467 | PPL: 2093.71 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.6684 | PPL: 2139.57 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.4395 | PPL: 1701.90 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.7797 | PPL: 2391.44 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.9963 | PPL: 2969.85 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.5445 | PPL: 1890.34 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.1338 | PPL: 1253.60 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4827 | PPL: 1776.96 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.4763 | PPL: 1765.77 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.3775 | PPL: 1599.53 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.4826 | PPL: 1776.90 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.3772 | PPL: 1599.06 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.5931 | PPL: 1984.47 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.1605 | PPL: 1287.57 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.4765 | PPL: 1766.04 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.7015 | PPL: 2211.64 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.9496 | PPL: 2834.32 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.5171 | PPL: 1839.15 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 7.5019 | PPL: 1811.53 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.6211 | PPL: 2040.77 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.5043 | PPL: 1815.75 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 7.4889 | PPL: 1788.03 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.5548 | PPL: 1909.89 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.2178 | PPL: 1363.49 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.4487 | PPL: 1717.62 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.5353 | PPL: 1873.10 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.4924 | PPL: 1794.35 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 7.0256 | PPL: 1125.11 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.5914 | PPL: 1981.08 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.7763 | PPL: 2383.39 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 7.2041 | PPL: 1344.97 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4332 | PPL: 1691.15 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.3308 | PPL: 1526.54 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.3110 | PPL: 1496.65 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.5792 | PPL: 1957.07 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.3273 | PPL: 1521.28 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.2079 | PPL: 1350.03 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 7.0759 | PPL: 1183.12 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.5276 | PPL: 1858.60 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.1558 | PPL: 1281.48 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 8.0975 | PPL: 3286.20 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.2681 | PPL: 1433.79 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.5290 | PPL: 1861.24 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.1372 | PPL: 1257.85 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 6.8907 | PPL: 983.10 | Tokens: 6,225,920 | LR: 7.60e-05
